Mediator,Indirect_Effect_Magnitude
Total_Cholesterol,54037331676.03097
Total_Lipids_in_Medium_LDL,17946834386.060078
Concentration_of_Medium_HDL_Particles,12461029780.57125
Total_Phospholipids_in_Lipoprotein_Particles,10958645854.39505
Cholesteryl_Esters_in_Medium_LDL,10458856448.411167
Cholesterol_in_IDL,6734366754.709403
Cholesterol_in_Medium_HDL,6261445234.8110485
Cholesteryl_Esters_in_IDL,4333126158.945097
HDL_Cholesterol,4173506846.886957
Cholesterol_in_Medium_VLDL,3730816540.6438046
